trial,lambda,acc,nmi,time,pred
5,1e-06,0.6693825042881647,0.735051668669847,3.855468273162842,[0 0 8 ... 2 4 6]
6,1e-06,0.6693825042881647,0.7350516686698471,4.227263450622559,[1 1 0 ... 3 5 8]
7,1e-06,0.6693825042881647,0.735051668669847,6.167389869689941,[9 9 8 ... 2 4 7]
8,1e-06,0.6688107489994283,0.7343260696940659,3.237144947052002,[1 1 0 ... 5 9 8]
9,1e-06,0.7041166380789022,0.7464686108964832,3.096060037612915,[9 9 4 ... 2 5 7]
10,1e-06,0.6693825042881647,0.735051668669847,3.786463975906372,[5 5 1 ... 3 4 9]
11,1e-06,0.6688107489994283,0.7343260696940659,2.9216535091400146,[7 7 2 ... 9 8 6]
12,1e-06,0.6688107489994283,0.7343260696940659,2.9611728191375732,[5 5 1 ... 2 7 9]
13,1e-06,0.7042595769010863,0.7467383636175767,3.5239410400390625,[1 1 4 ... 2 6 8]
14,1e-06,0.6693825042881647,0.7350516686698471,2.8222122192382812,[0 0 6 ... 2 1 3]
15,1e-06,0.6686678101772442,0.7340544262034496,2.1586058139801025,[6 6 5 ... 3 9 4]
16,1e-06,0.7042595769010863,0.7467383636175767,6.265931129455566,[2 2 8 ... 7 3 5]
17,1e-06,0.7039736992567182,0.7468302550738025,2.8275816440582275,[9 9 2 ... 3 7 6]
18,1e-06,0.6693825042881647,0.735051668669847,2.0772035121917725,[0 0 1 ... 3 9 5]
19,1e-06,0.6693825042881647,0.7350516686698468,2.954310417175293,[0 0 2 ... 1 4 3]
0,0.0001,0.6686678101772442,0.7340544262034496,2.028247117996216,[0 0 2 ... 5 3 9]
1,0.0001,0.6686678101772442,0.7340544262034496,2.280029535293579,[5 5 6 ... 3 0 9]
2,0.0001,0.6688107489994283,0.7343260696940659,1.982081651687622,[4 4 2 ... 8 1 3]
3,0.0001,0.6688107489994283,0.7343260696940659,3.9494709968566895,[7 7 0 ... 8 9 6]
4,0.0001,0.7039736992567182,0.7468302550738023,2.8103039264678955,[7 7 5 ... 1 4 8]
5,0.0001,0.6693825042881647,0.7350516686698471,3.9800708293914795,[9 9 0 ... 3 5 4]
6,0.0001,0.6688107489994283,0.7343260696940659,2.171780824661255,[9 9 4 ... 0 2 5]
7,0.0001,0.6693825042881647,0.735051668669847,5.3879241943359375,[2 2 0 ... 3 5 1]
8,0.0001,0.6693825042881647,0.735051668669847,3.150597095489502,[0 0 6 ... 8 2 1]
9,0.0001,0.7039736992567182,0.7463107263580994,3.6316168308258057,[5 5 0 ... 8 2 7]
10,0.0001,0.6686678101772442,0.7340544262034496,2.1675174236297607,[3 3 9 ... 5 0 6]
11,0.0001,0.6688107489994283,0.7343260696940659,3.853501081466675,[3 3 4 ... 2 9 5]
