trial,acc,nmi,time,pred
0,0.6517530651753065,0.6066754017033977,0.14887022972106934,[1 4 5 ... 5 9 3]
1,0.6594966659496666,0.6162450208026855,0.29796838760375977,[1 6 9 ... 9 8 4]
2,0.606904710690471,0.6175836105874872,0.19376206398010254,[1 2 7 ... 0 8 3]
3,0.6607872660787266,0.6081671745083164,0.30446338653564453,[8 5 6 ... 6 4 2]
4,0.603893310389331,0.6001447523015133,0.14861679077148438,[3 5 4 ... 4 0 2]
5,0.7110131211013121,0.63429974626567,0.16838550567626953,[ 7  3 10 ...  1  4  8]
6,0.6388470638847064,0.6049991996586394,0.10021281242370605,[4 1 8 ... 8 2 0]
7,0.6445472144547214,0.6062552133561004,0.15268826484680176,[5 6 7 ... 7 8 2]
8,0.6377715637771564,0.6024540980693752,0.3309943675994873,[4 6 1 ... 1 3 2]
9,0.605614110561411,0.6205415921677674,0.16581201553344727,[ 5 10  4 ...  8  1  2]
10,0.6547644654764465,0.6138032821454603,0.23892855644226074,[1 3 2 ... 2 8 4]
11,0.6377715637771564,0.6024540980693751,0.3347816467285156,[0 9 3 ... 3 6 5]
12,0.6232523123252313,0.6074756222404157,0.12069582939147949,[0 4 7 ... 2 6 9]
13,0.6375564637556463,0.6122278254902197,0.23276925086975098,[ 4  9 10 ... 10  3  7]
14,0.7187567218756722,0.6392026769031097,0.1624441146850586,[ 0 10  5 ...  9  2  4]
15,0.6311034631103463,0.617572645099393,0.2357923984527588,[6 8 0 ... 3 7 5]
16,0.7190793719079371,0.6395201202647368,0.15192961692810059,[0 5 4 ... 2 9 6]
17,0.7104753710475371,0.6340237439530735,0.14216208457946777,[10  4  6 ...  3  2  9]
18,0.6407829640782964,0.6061772989457089,0.17139530181884766,[ 6  1 10 ... 10  4  2]
19,0.6466982146698215,0.6026393153362288,0.2555572986602783,[ 2  9  0 ...  0  6 10]
