trial,acc,nmi,time,pred
0,0.6319444444444444,0.7468448135569269,0.2557063102722168,[18 18 14 ...  4  4  4]
1,0.5597222222222222,0.7101742809891639,0.05283617973327637,[ 1  1 17 ...  8 19 19]
2,0.6666666666666666,0.7654010378314214,0.04639744758605957,[ 0  0  0 ... 15 15 15]
3,0.6069444444444444,0.7362550353283059,0.05336260795593262,[12 12 15 ... 18  7  7]
4,0.49583333333333335,0.6863577095982962,0.06654548645019531,[19 19 19 ... 13 13 13]
5,0.5777777777777777,0.7085946411663345,0.06100797653198242,[17 17 13 ...  3  3  3]
6,0.6416666666666667,0.7670974615878919,0.05361056327819824,[19 19 19 ...  0  0 14]
7,0.49444444444444446,0.7020304014034097,0.058736562728881836,[10 10 10 ... 18 18 13]
8,0.625,0.7563886934641952,0.07706761360168457,[13 13 17 ...  3  3 16]
9,0.6006944444444444,0.7122404671869305,0.07341432571411133,[ 6  6 12 ... 16 16 16]
10,0.6041666666666666,0.7255876796903361,0.08125686645507812,[12 12 12 ...  3 19 19]
11,0.6048611111111111,0.7501318414523471,0.06457352638244629,[17 17 17 ... 10 10 10]
12,0.6201388888888889,0.7466332556749162,0.08453369140625,[ 0  0 14 ...  8  8  8]
13,0.5527777777777778,0.7155814465408891,0.0920419692993164,[3 3 3 ... 7 7 7]
14,0.6395833333333333,0.7480546262420014,0.08056974411010742,[ 9  9 15 ... 17 17 17]
15,0.6659722222222222,0.7698596761768052,0.10520696640014648,[13 13  0 ... 12 12 12]
16,0.5909722222222222,0.7244716836462979,0.07489132881164551,[11 11 11 ... 15 15 15]
17,0.5694444444444444,0.7315326543057228,0.09419465065002441,[18 18 11 ...  9  9  9]
18,0.5118055555555555,0.7111681290235428,0.07121729850769043,[ 1  1  1 ... 18  0  0]
19,0.5479166666666667,0.7056551860281565,0.07328295707702637,[12 12 12 ... 16 16 16]
